Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,3,-0.5924805998028931,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,True,False,True
1,3,-0.2846631968415396,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,False,False,True
1,1,0.40792595982150565,0.4327933656785018,-0.4736736092984604,0.4207302360686478,False,False,True
0,3,0.40792595982150565,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True
0,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,True,True,False
0,1,1.8700586238879346,-0.47454519624983954,-0.4736736092984604,0.395813560675251,True,False,True
0,3,-2.1315676146096605,2.2474704895351842,0.7676298785983874,-0.22408312108167944,True,False,True
1,3,-0.20770884610120124,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,False,False,True
1,2,-1.2081154057256,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,False,False,False
1,3,-1.9776589131289837,0.4327933656785018,0.7676298785983874,-0.312172377522981,False,False,True
1,1,2.177876026849288,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,False,False,True
0,3,-0.7463893012835698,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True
0,3,0.7157433627828591,0.4327933656785018,5.73284383018578,-0.01870931177853076,True,False,True
0,3,-1.2081154057256,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,False,False,True
1,2,1.947012974628273,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,False,False,True
0,3,-2.1315676146096605,3.1548090514635256,0.7676298785983874,-0.06199888922968463,True,True,False
1,2,0.0,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,True,False,True
0,3,0.1001085568601522,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,False,False,True
1,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,False,False,False
0,2,0.40792595982150565,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,True,False,True
1,2,0.3309716090811673,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,True,False,True
1,3,-1.1311610549852615,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,False,True,False
1,1,-0.1307544953608629,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,True,False,True
0,3,-1.6698415101676303,2.2474704895351842,0.7676298785983874,-0.22408312108167944,False,False,True
1,3,0.6387890120425208,0.4327933656785018,5.73284383018578,-0.016444159470040135,False,False,True
0,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,True,False,False
1,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,False,True,False
0,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,True,False,True
0,1,0.7926977135231975,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,True,False,False
1,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,False,True,False
0,2,2.793510832771995,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,True,False,True
0,1,0.9466064150038742,0.4327933656785018,-0.4736736092984604,0.39858208016340624,True,False,True
1,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,True,False,False
0,3,-0.6694349505432314,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True
0,3,-0.9002980027642465,1.340131927606843,-0.4736736092984604,-0.2859972841804228,False,False,True
1,3,-1.2081154057256,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,False,False,False
0,3,0.7926977135231975,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,False,False,True
0,2,-0.20770884610120124,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,False,False,True
0,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,True,False,False
1,2,-2.054613263869322,0.4327933656785018,2.0089333664952354,0.18876253192945994,False,False,False
1,3,-0.8233436520239081,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,False,True,False
0,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,True,False,True
0,3,0.0,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,True,True,False
1,3,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,False,True,False
0,3,0.0,1.340131927606843,-0.4736736092984604,-0.21191774308354583,True,False,False
0,3,-0.9002980027642465,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,False,False,True
0,3,-1.7467958609079686,3.1548090514635256,0.7676298785983874,0.1506737441786005,True,False,True
0,3,-0.6694349505432314,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,True,False,True
1,2,-0.05380014462052453,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,False,False,True
0,1,2.7165564820316566,-0.47454519624983954,0.7676298785983874,0.5995101505357573,True,False,False
